time_seconds,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,CG1,CG2,CG3,CG4,AH1,AH2,AH3,AH4,AH5,AH6,AH7,AH8,AH9,AH10,PH1,PH2,PH3,PH4,BO1,BO2,BO3,BO4
0.0000,5235980.0000,5138151.5000,4446972.5000,-4793555.5000,-4628204.0000,-2771591.7500,2130460.5000,-1805004.8750,-3144828.2500,460466.3750,-213167.0625,1349428.5000,6318472.0000,3622875.0000,-3152271.7500,-2116567.0000,-5337460.0000,1547212.0000,3539401.7500,-1253656.8750,2892352.2500,-8878953.0000,-2024587.0000,2991775.5000,8961433.0000,-2751388.0000,5220561.0000,3898283.0000,7795999.5000,-1325964.8750,6767738.0000,3441041.7500,10136.8428,-5385842.5000,-5719203.0000,4416667.0000,-4977515.0000,-1816701.7500,-3763167.5000,2574941.7500,-7100497.5000,-2122415.5000,1342516.7500,1856647.3750,2099091.7500,-4073134.5000,-1273860.6250,-624152.5625,-4859483.0000,-3980091.2500,6982535.5000,325420.6875,-4763250.0000,775218.5625,5477892.5000,1591872.7500,-4333655.5000,5124328.0000,735874.5000,8910924.0000,-4959438.5000,34593.9375,-7051051.5000,4891985.5000,-2284576.5000,-5798423.0000,-8870978.0000,6085598.0000,-230712.3594,4955786.5000
0.0020,5232258.0000,5133366.5000,4442187.5000,-4794087.0000,-4627141.0000,-2780630.2500,2123017.0000,-1806068.2500,-3151740.0000,461529.7188,-203596.8906,1360593.7500,6324320.5000,3615431.5000,-3157056.7500,-2121352.0000,-5334801.5000,1549338.7500,3544718.5000,-1249403.5000,2897137.2500,-8879485.0000,-2028840.3750,2989117.2500,8958775.0000,-2747666.2500,5225346.0000,3898283.0000,7794936.0000,-1325964.8750,6762953.0000,3443700.2500,-1560.0278,-5381057.5000,-5710696.5000,4415072.0000,-4976452.0000,-1807663.2500,-3757319.0000,2560586.5000,-7101560.5000,-2129858.7500,1332414.8750,1852925.6250,2098560.0000,-4071007.7500,-1267480.5000,-628937.6250,-4861610.0000,-3981686.2500,6979345.0000,321698.9375,-4766971.5000,772560.1250,5476829.0000,1590809.5000,-4330465.5000,5125391.0000,733747.8125,8910392.0000,-4964223.5000,31935.5566,-7056900.0000,4896239.0000,-2282981.5000,-5801613.0000,-8880548.0000,6061672.5000,-230712.3594,4946216.5000
0.0040,5221093.0000,5127518.0000,4437402.5000,-4796745.5000,-4634584.5000,-2790200.5000,2119827.0000,-1814575.0000,-3158120.2500,460998.0625,-195090.0781,1359530.3750,6322193.5000,3596822.7500,-3165032.0000,-2130922.2500,-5335333.0000,1544553.6250,3548440.2500,-1252061.8750,2890757.2500,-8881612.0000,-2036283.8750,2976888.7500,8947078.0000,-2748729.7500,5227473.0000,3892434.7500,7782176.0000,-1332876.6250,6757104.5000,3434130.0000,-19105.3340,-5389032.5000,-5709101.5000,4409223.5000,-4983895.5000,-1805536.5000,-3765825.7500,2536661.0000,-7115384.0000,-2141555.7500,1316464.6250,1841228.8750,2091116.5000,-4075261.2500,-1271202.2500,-639039.5000,-4863736.5000,-3987003.0000,6972433.5000,314787.1562,-4772288.5000,775218.5625,5477892.5000,1591872.7500,-4332592.5000,5127518.0000,738001.2500,8908797.0000,-4972198.5000,22897.0664,-7059558.5000,4895707.0000,-2283513.2500,-5807993.0000,-8890119.0000,6037747.0000,-232839.0625,4944621.5000
0.0060,5207269.5000,5111036.0000,4428364.0000,-4797809.0000,-4645749.5000,-2797643.7500,2117168.7500,-1828930.2500,-3167690.2500,450896.2188,-198811.8125,1349428.5000,6311028.5000,3579809.2500,-3177260.5000,-2145277.5000,-5336928.0000,1539768.5000,3546313.5000,-1262163.7500,2879592.0000,-8893309.0000,-2048512.3750,2962001.7500,8936976.0000,-2744476.2500,5219498.0000,3878611.0000,7763567.0000,-1342978.5000,6735837.5000,3411268.0000,-37713.9922,-5404982.5000,-5716013.0000,4394868.5000,-4995592.0000,-1811385.0000,-3779117.7500,2506887.0000,-7133461.0000,-2158569.2500,1298919.3750,1825278.5000,2076761.2500,-4085894.7500,-1284494.1250,-662964.9375,-4876497.0000,-3999231.5000,6960205.0000,305217.0000,-4775478.5000,769901.7500,5471512.0000,1584429.3750,-4339504.0000,5122201.0000,734279.5000,8898164.0000,-4983363.5000,9605.1670,-7069128.5000,4891453.5000,-2289893.2500,-5819158.5000,-8928931.0000,6004783.0000,-241877.5625,4936646.0000
0.0080,5231194.5000,5141341.5000,4464518.0000,-4765908.0000,-4610659.0000,-2763085.0000,2155449.2500,-1802878.1250,-3132599.7500,481201.7500,-156277.7344,1385050.8750,6345056.0000,3614899.7500,-3140574.7500,-2113908.5000,-5296521.0000,1573264.1250,3579277.5000,-1228668.1250,2912024.2500,-8857155.0000,-2011295.1250,2998687.2500,8970472.0000,-2695562.0000,5251398.5000,3907321.5000,7792809.5000,-1307356.1250,6764016.5000,3425091.5000,-19105.3340,-5374145.5000,-5684112.5000,4421984.0000,-4965286.5000,-1776294.3750,-3749875.5000,2532407.5000,-7106345.5000,-2135707.2500,1320186.3750,1853989.0000,2106535.0000,-4054525.7500,-1254720.2500,-640634.5000,-4846723.0000,-3967862.5000,6985193.5000,335522.5312,-4734539.5000,807650.7500,5502349.5000,1617924.8750,-4302818.5000,5157291.5000,770433.4375,8926874.0000,-4951463.0000,42037.3984,-7032974.5000,4925481.0000,-2260119.5000,-5788852.5000,-8893840.0000,6021265.0000,-211572.0312,4970673.5000
0.0100,5212054.5000,5128049.5000,4451757.5000,-4781858.5000,-4627141.0000,-2777440.2500,2147474.2500,-1820955.1250,-3146955.0000,463124.7500,-166379.5781,1366442.2500,6325915.5000,3597886.2500,-3157056.7500,-2131454.0000,-5315661.0000,1558377.2500,3561200.5000,-1246213.3750,2890225.5000,-8869915.0000,-2024587.0000,2986990.5000,8955053.0000,-2713639.0000,5231726.5000,3882864.5000,7769947.5000,-1317458.0000,6749129.5000,3399039.2500,-43030.7539,-5394881.0000,-5704848.0000,4396463.5000,-4978047.0000,-1779484.3750,-3763167.5000,2527090.7500,-7125486.0000,-2170798.0000,1294666.0000,1832722.0000,2087394.7500,-4071539.5000,-1266417.1250,-661901.5625,-4865331.5000,-3992319.7500,6962331.5000,317445.5312,-4746236.0000,787978.7500,5483209.0000,1604101.3750,-4318237.0000,5145595.0000,767775.0625,8913051.0000,-4967413.5000,27682.1484,-7048924.5000,4910062.5000,-2270221.2500,-5801613.0000,-8928399.0000,6004783.0000,-218483.8125,4966420.0000
0.0120,5213649.5000,5134429.5000,4456543.0000,-4783453.5000,-4628736.0000,-2774250.0000,2153854.2500,-1823613.5000,-3145891.5000,466314.8125,-163189.5156,1363783.7500,6330169.0000,3594696.0000,-3147486.5000,-2130390.5000,-5314066.0000,1563694.0000,3553225.2500,-1240365.0000,2888098.7500,-8867788.0000,-2022460.3750,2993370.5000,8957180.0000,-2726931.0000,5224814.5000,3881269.5000,7768352.5000,-1308951.2500,6745939.5000,3399039.2500,-53664.2695,-5405514.5000,-5708038.0000,4388488.5000,-4978578.5000,-1767255.8750,-3757319.0000,2532407.5000,-7125486.0000,-2184621.5000,1275525.6250,1827936.8750,2090053.1250,-4061969.2500,-1258973.6250,-663496.5625,-4872775.0000,-3999231.5000,6953293.0000,313192.1250,-4745173.0000,793827.1875,5482145.5000,1601443.0000,-4318237.0000,5148785.0000,777345.2500,8915177.0000,-4972198.5000,20238.6855,-7051051.5000,4911126.0000,-2271284.7500,-5805334.5000,-8935311.0000,6005846.5000,-208913.6406,4980243.5000
0.0140,5237043.0000,5162608.5000,4481531.5000,-4772288.5000,-4604810.5000,-2746603.0000,2186286.5000,-1800219.7500,-3118244.5000,488645.1875,-140859.1250,1382924.1250,6353562.5000,3603203.0000,-3124093.0000,-2108591.7500,-5285887.5000,1589214.3750,3561732.2500,-1215376.2500,2915746.0000,-8844394.0000,-1991623.1250,3018891.0000,8974193.0000,-2710449.0000,5247676.5000,3904663.2500,7790682.5000,-1284494.1250,6770396.5000,3432535.0000,-39309.0195,-5401261.0000,-5690492.5000,4407628.5000,-4951463.0000,-1732696.8750,-3728608.5000,2559523.0000,-7101560.5000,-2173456.2500,1283500.7500,1846013.8750,2115042.0000,-4031663.7500,-1231858.1250,-642761.2500,-4852039.5000,-3979559.5000,6974028.5000,334459.1875,-4718057.5000,819347.6250,5507666.0000,1626431.7500,-4292185.0000,5170583.5000,814030.8750,8941229.0000,-4951463.0000,42037.3984,-7018619.0000,4937178.0000,-2245232.5000,-5781941.0000,-8910322.0000,6036683.5000,-173291.3594,5012144.0000
0.0160,5222688.0000,5138683.0000,4458669.5000,-4806847.5000,-4635116.0000,-2772123.5000,2163424.5000,-1827335.2500,-3137384.7500,459934.6875,-171696.3281,1354213.6250,6323789.0000,3561732.2500,-3146955.0000,-2139960.7500,-5302901.0000,1565820.6250,3521856.5000,-1241428.3750,2889693.7500,-8877358.0000,-2016080.2500,2989117.2500,8945483.0000,-2738096.2500,5221093.0000,3878079.5000,7758782.0000,-1302571.1250,6747003.0000,3421901.5000,-71741.2500,-5436883.5000,-5725051.5000,4376259.5000,-4975920.0000,-1749710.5000,-3748280.5000,2551016.2500,-7128676.0000,-2210673.5000,1252131.8750,1822088.5000,2091116.5000,-4053994.0000,-1256847.0000,-668813.3750,-4880218.5000,-4007738.2500,6941596.0000,309470.4062,-4740919.5000,795422.2500,5482145.5000,1606228.0000,-4317173.5000,5146126.5000,797548.9375,8916772.0000,-4981237.0000,13326.8984,-7038291.0000,4912721.0000,-2264904.5000,-5802144.5000,-8937438.0000,6026582.0000,-178608.1250,4993535.5000
0.0180,5232789.5000,5143468.0000,4465581.5000,-4808442.5000,-4629267.5000,-2768401.7500,2167146.2500,-1822018.5000,-3130473.0000,455681.2812,-175418.0625,1348896.8750,6315813.5000,3546845.2500,-3148018.2500,-2141024.0000,-5295989.0000,1560503.8750,3509628.0000,-1237706.6250,2899264.0000,-8876827.0000,-2006510.0000,2981142.0000,8942293.0000,-2734374.5000,5221093.0000,3881801.0000,7759845.5000,-1293000.8750,6752319.5000,3427218.2500,-74931.3125,-5429440.0000,-5729305.0000,4377323.0000,-4970603.5000,-1734823.6250,-3740305.2500,2563244.7500,-7120701.0000,-2214927.0000,1240966.6250,1826873.6250,2099091.7500,-4048145.7500,-1247808.5000,-660306.5000,-4874902.0000,-4002953.2500,6946381.5000,313723.8125,-4732412.5000,800207.3125,5487462.5000,1611544.7500,-4312920.5000,5150911.5000,814030.8750,8918367.0000,-4976983.5000,18111.9824,-7032443.0000,4919101.0000,-2260651.2500,-5799486.5000,-8952325.0000,6037215.5000,-169569.6250,4997257.5000
